workload,dimension,cache_size,lru_hit_rate,rl_hit_rate,delta_hit_rate,winner
stable_working_set,Recency,2,0.0,0.275,+0.2750,RL-LRU
stable_working_set,Recency,4,0.95,0.95,+0.0000,tie
stable_working_set,Recency,8,0.95,0.95,+0.0000,tie
thrashing_cache_plus_one,Thrashing,2,0.0,0.2,+0.2000,RL-LRU
thrashing_cache_plus_one,Thrashing,4,0.0,0.48,+0.4800,RL-LRU
thrashing_cache_plus_one,Thrashing,8,0.95,0.95,+0.0000,tie
hot_set_scan,Pollution resistance,2,0.0,0.21,+0.2100,RL-LRU
hot_set_scan,Pollution resistance,4,0.72,0.72,+0.0000,tie
hot_set_scan,Pollution resistance,8,0.72,0.72,+0.0000,tie
zipfian,Frequency / popularity,2,0.395,0.43,+0.0350,RL-LRU
zipfian,Frequency / popularity,4,0.635,0.64,+0.0050,RL-LRU
zipfian,Frequency / popularity,8,0.875,0.855,-0.0200,LRU
phase_shift,Adaptation,2,0.0,0.1,+0.1000,RL-LRU
phase_shift,Adaptation,4,0.9,0.9,+0.0000,tie
phase_shift,Adaptation,8,0.9,0.9,+0.0000,tie
